use,share_pct,note
Battery anodes,28,fastest growing; ~62% projected by 2036
Refractories and steelmaking,26,"crucibles, furnace linings, the traditional anchor"
Graphite electrodes,16,"electric-arc furnace steel, mostly synthetic"
Foundry and lubricants,12,approx
Other,18,"brake linings, expandable graphite, pencils"
