item,value,unit
Graphite per EV battery,100,"kg, more than every other battery metal combined"
Pencils per EV,250000,pencils' worth of graphite in one EV battery
Graphite per second,95,kg of graphite made every second (natural + synthetic)
EVs per year,8,million EVs' worth of battery-grade graphite a year
